"product_review","word","n","sentiment"
"Fitbit Flex 2, Black (US Version), 1 Count","garbage",796,"disgust"
"Fitbit Flex 2, Black (US Version), 1 Count","garbage",796,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","fun",744,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","fun",744,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","fun",744,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","battery",597,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","battery",597,"negative"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","love",458,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","love",458,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"disgust"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"fear"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","lose",398,"surprise"
"Fitbit Flex 2, Black (US Version), 1 Count","perfect",398,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","perfect",398,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","perfect",398,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","perfect",398,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","warranty",398,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","warranty",398,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","love",388,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","love",388,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","love",364,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","love",364,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","clean",277,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","clean",277,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","clean",277,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","clean",247,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","clean",247,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","clean",247,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","perfect",232,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","perfect",232,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","perfect",232,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","perfect",232,"trust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","time",222,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","clean",221,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","clean",221,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","clean",221,"trust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","love",213,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","love",213,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","perfect",208,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","perfect",208,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","perfect",208,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","perfect",208,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","accurate",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","accurate",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","actual",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","bad",199,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","bad",199,"disgust"
"Fitbit Flex 2, Black (US Version), 1 Count","bad",199,"fear"
"Fitbit Flex 2, Black (US Version), 1 Count","bad",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","bad",199,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","bug",199,"disgust"
"Fitbit Flex 2, Black (US Version), 1 Count","bug",199,"fear"
"Fitbit Flex 2, Black (US Version), 1 Count","bug",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","calculating",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","charger",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","daily",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","disappointment",199,"disgust"
"Fitbit Flex 2, Black (US Version), 1 Count","disappointment",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","disappointment",199,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","enjoy",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","enjoy",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","enjoy",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","enjoy",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","excited",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","excited",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","excited",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","excited",199,"surprise"
"Fitbit Flex 2, Black (US Version), 1 Count","excited",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","favorite",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","favorite",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","favorite",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","fee",199,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","fee",199,"negative"
